[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =   0.000000      # minimum value of x-mesh points
     xmax =   20.00000      # maximum value of x-mesh points
#    xdel =   1.000000      # mesh width of x-mesh points
       nx =     20          # number of x-mesh points
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -170.0000      # minimum value of y-mesh points
     ymax =   20.00000      # maximum value of y-mesh points
#    ydel =   1.000000      # mesh width of y-mesh points
       ny =    190          # number of y-mesh points
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -90.00000      # minimum value of z-mesh points
     zmax =   150.0000      # maximum value of z-mesh points
#    zdel =   1.000000      # mesh width of z-mesh points
       nz =    240          # number of z-mesh points
     axis =   yz            # axis of output
     file = 2d_yz_BSAORNL.out  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         453 (  0)       23016 (  0)       23469 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   x =    5.0000E-01

'no. =  1,    x =    5.0000E-01'
msuc: {\huge [t-gshow] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.31}

x: z [cm]
y: y [cm]
set: c1[ 0.792] c2[ 1.012] c5[ 0.800] c6[ 0.921] c7[ 0.000] c8[ 0.105]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
p: xmin( -90.00000    ) xmax(  150.0000    )
p: ymin( -170.0000    ) ymax(  20.00000    )

p: legs[c5*0.875]

h: x ny1,0  y2=[y1](Udara),ic[gray]
 -1.000000E+00 -1.000000E+00

hb:   line clip z   cb(gray)
frame:
 -9.0000000E+01 -1.7000000E+02
  1.5000000E+02 -1.7000000E+02
  1.5000000E+02  2.0000000E+01
 -9.0000000E+01  2.0000000E+01
clip:
 -9.099585E+01 -1.709948E+02
  1.509959E+02 -1.709948E+02
  1.509959E+02 -1.699843E+02
  1.509959E+02 -1.689738E+02
  1.509959E+02 -1.679634E+02
  1.509959E+02 -1.669529E+02
  1.509959E+02 -1.659424E+02
  1.509959E+02 -1.649319E+02
  1.509959E+02 -1.639215E+02
  1.509959E+02 -1.629110E+02
  1.509959E+02 -1.619005E+02
  1.509959E+02 -1.608901E+02
  1.509959E+02 -1.598796E+02
  1.509959E+02 -1.588691E+02
  1.509959E+02 -1.578586E+02
  1.509959E+02 -1.568482E+02
  1.509959E+02 -1.558377E+02
  1.509959E+02 -1.548272E+02
  1.509959E+02 -1.538168E+02
  1.509959E+02 -1.528063E+02
  1.509959E+02 -1.517958E+02
  1.509959E+02 -1.507853E+02
  1.509959E+02 -1.497749E+02
  1.509959E+02 -1.487644E+02
  1.509959E+02 -1.477539E+02
  1.509959E+02 -1.467435E+02
  1.509959E+02 -1.457330E+02
  1.509959E+02 -1.447225E+02
  1.509959E+02 -1.437120E+02
  1.509959E+02 -1.427016E+02
  1.509959E+02 -1.416911E+02
  1.509959E+02 -1.406806E+02
  1.509959E+02 -1.396702E+02
  1.509959E+02 -1.386597E+02
  1.509959E+02 -1.376492E+02
  1.509959E+02 -1.366387E+02
  1.509959E+02 -1.356283E+02
  1.509959E+02 -1.346178E+02
  1.509959E+02 -1.336073E+02
  1.509959E+02 -1.325969E+02
  1.509959E+02 -1.315864E+02
  1.509959E+02 -1.305759E+02
  1.509959E+02 -1.295654E+02
  1.509959E+02 -1.285550E+02
  1.509959E+02 -1.275445E+02
  1.509959E+02 -1.265340E+02
  1.509959E+02 -1.255236E+02
  1.509959E+02 -1.245131E+02
  1.509959E+02 -1.235026E+02
  1.509959E+02 -1.224921E+02
  1.509959E+02 -1.214817E+02
  1.509959E+02 -1.204712E+02
  1.509959E+02 -1.194607E+02
  1.509959E+02 -1.184503E+02
  1.509959E+02 -1.174398E+02
  1.509959E+02 -1.164293E+02
  1.509959E+02 -1.154188E+02
  1.509959E+02 -1.144084E+02
  1.509959E+02 -1.133979E+02
  1.509959E+02 -1.123874E+02
  1.509959E+02 -1.113770E+02
  1.509959E+02 -1.103665E+02
  1.509959E+02 -1.093560E+02
  1.509959E+02 -1.083455E+02
  1.509959E+02 -1.073351E+02
  1.509959E+02 -1.063246E+02
  1.509959E+02 -1.053141E+02
  1.509959E+02 -1.043037E+02
  1.509959E+02 -1.032932E+02
  1.509959E+02 -1.022827E+02
  1.509959E+02 -1.012723E+02
  1.509959E+02 -1.002618E+02
  1.509959E+02 -9.925131E+01
  1.509959E+02 -9.824084E+01
  1.509959E+02 -9.723037E+01
  1.509959E+02 -9.621990E+01
  1.509959E+02 -9.520942E+01
  1.509959E+02 -9.419895E+01
  1.509959E+02 -9.318848E+01
  1.509959E+02 -9.217801E+01
  1.509959E+02 -9.116754E+01
  1.509959E+02 -9.015707E+01
  1.509959E+02 -8.914660E+01
  1.509959E+02 -8.813613E+01
  1.509959E+02 -8.712565E+01
  1.509959E+02 -8.611518E+01
  1.509959E+02 -8.510471E+01
  1.509959E+02 -8.409424E+01
  1.509959E+02 -8.308377E+01
  1.509959E+02 -8.207330E+01
  1.509959E+02 -8.106283E+01
  1.509959E+02 -8.005236E+01
  1.509959E+02 -7.904188E+01
  1.509959E+02 -7.803141E+01
  1.509959E+02 -7.702094E+01
  1.509959E+02 -7.601047E+01
  1.509959E+02 -7.500000E+01
  1.509959E+02 -7.398953E+01
  1.509959E+02 -7.297906E+01
  1.509959E+02 -7.196859E+01
  1.509959E+02 -7.095812E+01
  1.509959E+02 -6.994764E+01
  1.509959E+02 -6.893717E+01
  1.509959E+02 -6.792670E+01
  1.509959E+02 -6.691623E+01
  1.509959E+02 -6.590576E+01
  1.509959E+02 -6.489529E+01
  1.509959E+02 -6.388482E+01
  1.509959E+02 -6.287435E+01
  1.509959E+02 -6.186387E+01
  1.509959E+02 -6.085340E+01
