[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -90.00000      # minimum value of x-mesh points
     xmax =   110.0000      # maximum value of x-mesh points
#    xdel =  0.9523810      # mesh width of x-mesh points
       nx =    210          # number of x-mesh points
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -15.00000      # minimum value of y-mesh points
     ymax =  -5.000000      # maximum value of y-mesh points
#    ydel =   1.000000      # mesh width of y-mesh points
       ny =     10          # number of y-mesh points
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -90.00000      # minimum value of z-mesh points
     zmax =   150.0000      # maximum value of z-mesh points
#    zdel =   1.000000      # mesh width of z-mesh points
       nz =    240          # number of z-mesh points
     axis =   xz            # axis of output
     file = 2d_xz_BSAORNL.out  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         463 (  0)       25426 (  0)       25889 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   x =   -1.4500E+01

'no. =  1,    y =   -1.4500E+01'
msuc: {\huge [t-gshow] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.31}

x: z [cm]
y: x [cm]
set: c1[ 0.833] c2[ 0.986] c5[ 0.800] c6[ 0.938] c7[ 0.000] c8[ 0.080]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
p: xmin( -90.00000    ) xmax(  150.0000    )
p: ymin( -90.00000    ) ymax(  110.0000    )

p: legs[c5*0.875]

h: x ny1,0  y2=[y1](4),ic[pastelmagenta]
 -1.000000E+00 -1.000000E+00

hb:   line clip z   cb(pastelmagenta)
frame:
 -9.0000000E+01 -9.0000000E+01
  1.5000000E+02 -9.0000000E+01
  1.5000000E+02  1.1000000E+02
 -9.0000000E+01  1.1000000E+02
clip:
 -9.099585E+01 -9.094787E+01
  1.509959E+02 -9.094787E+01
  1.509959E+02 -8.998646E+01
  1.509959E+02 -8.902505E+01
  1.509959E+02 -8.806364E+01
  1.509959E+02 -8.710223E+01
  1.509959E+02 -8.614083E+01
  1.509959E+02 -8.517942E+01
  1.509959E+02 -8.421801E+01
  1.509959E+02 -8.325660E+01
  1.509959E+02 -8.229519E+01
  1.509959E+02 -8.133378E+01
  1.509959E+02 -8.037238E+01
  1.509959E+02 -7.941097E+01
  1.509959E+02 -7.844956E+01
  1.509959E+02 -7.748815E+01
  1.509959E+02 -7.652674E+01
  1.509959E+02 -7.556534E+01
  1.509959E+02 -7.460393E+01
  1.509959E+02 -7.364252E+01
  1.509959E+02 -7.268111E+01
  1.509959E+02 -7.171970E+01
  1.509959E+02 -7.075829E+01
  1.509959E+02 -6.979689E+01
  1.509959E+02 -6.883548E+01
  1.509959E+02 -6.787407E+01
  1.509959E+02 -6.691266E+01
  1.509959E+02 -6.595125E+01
  1.509959E+02 -6.498984E+01
  1.509959E+02 -6.402844E+01
  1.509959E+02 -6.306703E+01
  1.509959E+02 -6.210562E+01
  1.509959E+02 -6.114421E+01
  1.509959E+02 -6.018280E+01
  1.509959E+02 -5.922139E+01
  1.509959E+02 -5.825999E+01
  1.509959E+02 -5.729858E+01
  1.509959E+02 -5.633717E+01
  1.509959E+02 -5.537576E+01
  1.509959E+02 -5.441435E+01
  1.509959E+02 -5.345295E+01
  1.509959E+02 -5.249154E+01
  1.509959E+02 -5.153013E+01
  1.509959E+02 -5.056872E+01
  1.509959E+02 -4.960731E+01
  1.509959E+02 -4.864590E+01
  1.509959E+02 -4.768450E+01
  1.509959E+02 -4.672309E+01
  1.509959E+02 -4.576168E+01
  1.509959E+02 -4.480027E+01
  1.509959E+02 -4.383886E+01
  1.509959E+02 -4.287745E+01
  1.509959E+02 -4.191605E+01
  1.509959E+02 -4.095464E+01
  1.509959E+02 -3.999323E+01
  1.509959E+02 -3.903182E+01
  1.509959E+02 -3.807041E+01
  1.509959E+02 -3.710900E+01
  1.509959E+02 -3.614760E+01
  1.509959E+02 -3.518619E+01
  1.509959E+02 -3.422478E+01
  1.509959E+02 -3.326337E+01
  1.509959E+02 -3.230196E+01
  1.509959E+02 -3.134056E+01
  1.509959E+02 -3.037915E+01
  1.509959E+02 -2.941774E+01
  1.509959E+02 -2.845633E+01
  1.509959E+02 -2.749492E+01
  1.509959E+02 -2.653351E+01
  1.509959E+02 -2.557211E+01
  1.509959E+02 -2.461070E+01
  1.509959E+02 -2.364929E+01
  1.509959E+02 -2.268788E+01
  1.509959E+02 -2.172647E+01
  1.509959E+02 -2.076506E+01
  1.509959E+02 -1.980366E+01
  1.509959E+02 -1.884225E+01
  1.509959E+02 -1.788084E+01
  1.509959E+02 -1.691943E+01
  1.509959E+02 -1.595802E+01
  1.509959E+02 -1.499661E+01
  1.509959E+02 -1.403521E+01
  1.509959E+02 -1.307380E+01
  1.509959E+02 -1.211239E+01
  1.509959E+02 -1.115098E+01
  1.509959E+02 -1.018957E+01
  1.509959E+02 -9.228165E+00
  1.509959E+02 -8.266757E+00
  1.509959E+02 -7.305349E+00
  1.509959E+02 -6.343940E+00
  1.509959E+02 -5.382532E+00
  1.509959E+02 -4.421124E+00
  1.509959E+02 -3.459716E+00
  1.509959E+02 -2.498307E+00
  1.509959E+02 -1.536899E+00
  1.509959E+02 -5.754908E-01
  1.509959E+02  3.859174E-01
  1.509959E+02  1.347326E+00
  1.509959E+02  2.308734E+00
  1.509959E+02  3.270142E+00
  1.509959E+02  4.231550E+00
  1.509959E+02  5.192959E+00
  1.509959E+02  6.154367E+00
  1.509959E+02  7.115775E+00
  1.509959E+02  8.077184E+00
  1.509959E+02  9.038592E+00
  1.509959E+02  1.000000E+01
  1.509959E+02  1.096141E+01
  1.509959E+02  1.192282E+01
  1.509959E+02  1.288422E+01
  1.509959E+02  1.384563E+01
  1.509959E+02  1.480704E+01
