[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -30.00000      # minimum value of x-mesh points
     xmax =   180.0000      # maximum value of x-mesh points
#    xdel =   1.000000      # mesh width of x-mesh points
       nx =    210          # number of x-mesh points
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -120.0000      # minimum value of y-mesh points
     ymax =   90.00000      # maximum value of y-mesh points
#    ydel =   1.000000      # mesh width of y-mesh points
       ny =    210          # number of y-mesh points
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   45.00000      # minimum value of z-mesh points
     zmax =   55.00000      # maximum value of z-mesh points
#    zdel =   1.000000      # mesh width of z-mesh points
       nz =     10          # number of z-mesh points
     axis =   xy            # axis of output
     file = 2d_xy_BSAORNL.out  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         433 (  0)       22261 (  0)       22694 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   z =    4.5500E+01

'no. =  1,    z =    4.5500E+01'
msuc: {\huge [t-gshow] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.31}

x: x [cm]
y: y [cm]
set: c1[ 1.000] c2[ 0.900] c5[ 0.800] c6[ 1.000] c7[ 0.000] c8[ 0.000]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
p: xmin( -30.00000    ) xmax(  180.0000    )
p: ymin( -120.0000    ) ymax(  90.00000    )

p: legs[c5*0.875]

h: x ny1,0  y2=[y1](4),ic[pastelblue]
 -1.000000E+00 -1.000000E+00

hb:   line clip z   cb(pastelblue)
frame:
 -3.0000000E+01 -1.2000000E+02
  1.8000000E+02 -1.2000000E+02
  1.8000000E+02  9.0000000E+01
 -3.0000000E+01  9.0000000E+01
clip:
 -3.099526E+01 -1.209953E+02
  1.809953E+02 -1.209953E+02
  1.809953E+02 -1.199858E+02
  1.809953E+02 -1.189763E+02
  1.809953E+02 -1.179668E+02
  1.809953E+02 -1.169573E+02
  1.809953E+02 -1.159479E+02
  1.809953E+02 -1.149384E+02
  1.809953E+02 -1.139289E+02
  1.809953E+02 -1.129194E+02
  1.809953E+02 -1.119100E+02
  1.809953E+02 -1.109005E+02
  1.809953E+02 -1.098910E+02
  1.809953E+02 -1.088815E+02
  1.809953E+02 -1.078720E+02
  1.809953E+02 -1.068626E+02
  1.809953E+02 -1.058531E+02
  1.809953E+02 -1.048436E+02
  1.809953E+02 -1.038341E+02
  1.809953E+02 -1.028246E+02
  1.809953E+02 -1.018152E+02
  1.809953E+02 -1.008057E+02
  1.809953E+02 -9.979621E+01
  1.809953E+02 -9.878673E+01
  1.809953E+02 -9.777725E+01
  1.809953E+02 -9.676777E+01
  1.809953E+02 -9.575829E+01
  1.809953E+02 -9.474882E+01
  1.809953E+02 -9.373934E+01
  1.809953E+02 -9.272986E+01
  1.809953E+02 -9.172038E+01
  1.809953E+02 -9.071090E+01
  1.809953E+02 -8.970142E+01
  1.809953E+02 -8.869194E+01
  1.809953E+02 -8.768246E+01
  1.809953E+02 -8.667299E+01
  1.809953E+02 -8.566351E+01
  1.809953E+02 -8.465403E+01
  1.809953E+02 -8.364455E+01
  1.809953E+02 -8.263507E+01
  1.809953E+02 -8.162559E+01
  1.809953E+02 -8.061611E+01
  1.809953E+02 -7.960664E+01
  1.809953E+02 -7.859716E+01
  1.809953E+02 -7.758768E+01
  1.809953E+02 -7.657820E+01
  1.809953E+02 -7.556872E+01
  1.809953E+02 -7.455924E+01
  1.809953E+02 -7.354976E+01
  1.809953E+02 -7.254028E+01
  1.809953E+02 -7.153081E+01
  1.809953E+02 -7.052133E+01
  1.809953E+02 -6.951185E+01
  1.809953E+02 -6.850237E+01
  1.809953E+02 -6.749289E+01
  1.809953E+02 -6.648341E+01
  1.809953E+02 -6.547393E+01
  1.809953E+02 -6.446445E+01
  1.809953E+02 -6.345498E+01
  1.809953E+02 -6.244550E+01
  1.809953E+02 -6.143602E+01
  1.809953E+02 -6.042654E+01
  1.809953E+02 -5.941706E+01
  1.809953E+02 -5.840758E+01
  1.809953E+02 -5.739810E+01
  1.809953E+02 -5.638863E+01
  1.809953E+02 -5.537915E+01
  1.809953E+02 -5.436967E+01
  1.809953E+02 -5.336019E+01
  1.809953E+02 -5.235071E+01
  1.809953E+02 -5.134123E+01
  1.809953E+02 -5.033175E+01
  1.809953E+02 -4.932227E+01
  1.809953E+02 -4.831280E+01
  1.809953E+02 -4.730332E+01
  1.809953E+02 -4.629384E+01
  1.809953E+02 -4.528436E+01
  1.809953E+02 -4.427488E+01
  1.809953E+02 -4.326540E+01
  1.809953E+02 -4.225592E+01
  1.809953E+02 -4.124645E+01
  1.809953E+02 -4.023697E+01
  1.809953E+02 -3.922749E+01
  1.809953E+02 -3.821801E+01
  1.809953E+02 -3.720853E+01
  1.809953E+02 -3.619905E+01
  1.809953E+02 -3.518957E+01
  1.809953E+02 -3.418009E+01
  1.809953E+02 -3.317062E+01
  1.809953E+02 -3.216114E+01
  1.809953E+02 -3.115166E+01
  1.809953E+02 -3.014218E+01
  1.809953E+02 -2.913270E+01
  1.809953E+02 -2.812322E+01
  1.809953E+02 -2.711374E+01
  1.809953E+02 -2.610427E+01
  1.809953E+02 -2.509479E+01
  1.809953E+02 -2.408531E+01
  1.809953E+02 -2.307583E+01
  1.809953E+02 -2.206635E+01
  1.809953E+02 -2.105687E+01
  1.809953E+02 -2.004739E+01
  1.809953E+02 -1.903791E+01
  1.809953E+02 -1.802844E+01
  1.809953E+02 -1.701896E+01
  1.809953E+02 -1.600948E+01
  1.809953E+02 -1.500000E+01
  1.809953E+02 -1.399052E+01
  1.809953E+02 -1.298104E+01
  1.809953E+02 -1.197156E+01
  1.809953E+02 -1.096209E+01
  1.809953E+02 -9.952607E+00
  1.809953E+02 -8.943128E+00
  1.809953E+02 -7.933649E+00
  1.809953E+02 -6.924171E+00
  1.809953E+02 -5.914692E+00
  1.809953E+02 -4.905213E+00
  1.809953E+02 -3.895735E+00
  1.809953E+02 -2.886256E+00
  1.809953E+02 -1.876777E+00
  1.809953E+02 -8.672986E-01
  1.809953E+02  1.421801E-01
  1.809953E+02  1.151659E+00
  1.809953E+02  2.161137E+00
  1.809953E+02  3.170616E+00
  1.809953E+02  4.180095E+00
  1.809953E+02  5.189573E+00
  1.809953E+02  6.199052E+00
  1.809953E+02  7.208531E+00
  1.809953E+02  8.218010E+00
  1.809953E+02  9.227488E+00
  1.809953E+02  1.023697E+01
  1.809953E+02  1.124645E+01
  1.809953E+02  1.225592E+01
  1.809953E+02  1.326540E+01
  1.809953E+02  1.427488E+01
  1.809953E+02  1.528436E+01
  1.809953E+02  1.629384E+01
  1.809953E+02  1.730332E+01
  1.809953E+02  1.831280E+01
  1.809953E+02  1.932227E+01
  1.809953E+02  2.033175E+01
  1.809953E+02  2.134123E+01
  1.809953E+02  2.235071E+01
  1.809953E+02  2.336019E+01
  1.809953E+02  2.436967E+01
  1.809953E+02  2.537915E+01
  1.809953E+02  2.638863E+01
  1.809953E+02  2.739810E+01
  1.809953E+02  2.840758E+01
  1.809953E+02  2.941706E+01
  1.809953E+02  3.042654E+01
  1.809953E+02  3.143602E+01
  1.809953E+02  3.244550E+01
  1.809953E+02  3.345498E+01
  1.809953E+02  3.446445E+01
  1.809953E+02  3.547393E+01
  1.809953E+02  3.648341E+01
  1.809953E+02  3.749289E+01
  1.809953E+02  3.850237E+01
  1.809953E+02  3.951185E+01
  1.809953E+02  4.052133E+01
  1.809953E+02  4.153081E+01
  1.809953E+02  4.254028E+01
  1.809953E+02  4.354976E+01
  1.809953E+02  4.455924E+01
  1.809953E+02  4.556872E+01
  1.809953E+02  4.657820E+01
  1.809953E+02  4.758768E+01
  1.809953E+02  4.859716E+01
  1.809953E+02  4.960664E+01
  1.809953E+02  5.061611E+01
  1.809953E+02  5.162559E+01
  1.809953E+02  5.263507E+01
  1.809953E+02  5.364455E+01
  1.809953E+02  5.465403E+01
  1.809953E+02  5.566351E+01
  1.809953E+02  5.667299E+01
  1.809953E+02  5.768246E+01
  1.809953E+02  5.869194E+01
  1.809953E+02  5.970142E+01
